Feature,Importance
densite_log,0.06770693758024506
ceinture,0.06488850284298907
vma_densite_ratio,0.0504070012576456
casque,0.04721565255327345
rural_isole,0.023139963081513348
vma_nbv_ratio,0.02173817292760559
hour_cos,0.020412857097340534
vma,0.019860761874149646
hour_sin,0.019517118653023764
safety,0.01758911766634426
